devil¿la6ue,INSANITY,13+,0
席替えやったー！,MASTER,11+,0
席替えやったー！,INSANITY,14+,994848
"Sunset Toybox",MASTER,13+,996981
"Sunset Toybox",INSANITY,14+,999796
N3ON,MASTER,12,0
N3ON,INSANITY,14,993697
TokyoKawaiiBeats,MASTER,13,998408
MAGiADR1V3,MASTER,14,999247
ニニ,MASTER,12+,999800
ニニ,INSANITY,14+,999380
＋η,MASTER,14+,996498
"This is Jack",MASTER,13,993958
"This is Jack",INSANITY,14,999743
WOLVRAVES,MASTER,15,994300
Edgelord,MASTER,14,997784
Edgelord,INSANITY,15+,998520
Flashdance,MASTER,12+,0
Flashdance,INSANITY,14+,990902
Rush-More,MASTER,12,0
Rush-More,INSANITY,14,999930
Dizzolve,MASTER,14,0
Dizzolve,INSANITY,15+,997882
透るエデンに花束を,MASTER,12,999667
透るエデンに花束を,INSANITY,15,998384
[410]:Odyssey,MASTER,14,999275
"Absolute Disintegration",MASTER,14,997467
"Absolute Disintegration",INSANITY,15+,993001
BlueWish,MASTER,13,995598
カリオストロの幻想郷,MASTER,12+,998837
"Clockwork Paradox",MASTER,15,1000000
"Clockwork Paradox",INSANITY,16,987303
Fafnir,MASTER,13+,0
Fafnir,INSANITY,15,998372
神々の住まう天域,MASTER,13,998448
神々の住まう天域,INSANITY,15,999158
"LiR Acanthus",MASTER,14,996370
maessigkeit,MASTER,14+,999785
"Magic in the travel",MASTER,13,0
"Melody to Heaven",MASTER,15,999682
rest^rest^rest^rest^rest^rest,MASTER,13+,993986
"She has gone out 0f reach",MASTER,14+,999411
"She has gone out 0f reach",INSANITY,15+,990508
"SO GRAND.",MASTER,14+,998862
創世,MASTER,14,1000000
TRⅢDiM3NXi0NaL,MASTER,15,997381
TRⅢDiM3NXi0NaL,INSANITY,16,992949
飈,MASTER,15+,993187
Twinkle☆Dreamer,MASTER,14,999799
Twinkle☆Dreamer,INSANITY,15+,997705
wavelite,MASTER,13+,992069
妖狐の喫茶店,MASTER,10+,0
"VS. マスターコア",MASTER,14,999748
"VS. マスターコア",INSANITY,15+,994306
